rank,strategy_id,label,folder,asset_key,phase,source,metadata_file,overall_pf,overall_trades,overall_total_r,win_rate_pct,max_drawdown_r,ml_used,model,split_basis,pre_split_pf,pre_split_trades,post_split_pf,post_split_trades,observed_first70_pf,observed_first70_trades,observed_last30_pf,observed_last30_trades,overfit_risk,overfit_notes,variant_id,key_params
1,competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_11a69e11,6J US opening-range reversal into the close (Wednesday shorts),competition_japanese_yen_futures_us_first30_last30_reversal_signalweekdayside_direction_opposite_entry_11a69e11,japanese_yen_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,4.350,75,20.98,65.3,1.25,yes,ML scorer,true_pre2022_vs_2022_forward,1.192,207,4.350,75,3.323,53,12.349,22,Low,forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalweekdayside|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=2_short|risk_reward=2,direction=opposite; risk_reward=2; entry=930; exit=945; family=us_first30_last30_reversal_signalweekdayside; min_signal_atr=0.35
2,competition_usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_40e6d9ae,USDJPY US opening-range reversal into the close (Wednesday longs),competition_usd_jpy_us_first30_last30_reversal_signalweekdayside_direction_opposite_entryminute_930_ex_40e6d9ae,usd_jpy,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.984,74,17.15,66.2,1.36,yes,ML scorer,true_pre2022_vs_2022_forward,1.043,48,3.984,74,2.858,52,21.847,22,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=us_first30_last30_reversal_signalweekdayside|direction=opposite|entry=930|exit=945|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=2,direction=opposite; risk_reward=2; entry=930; exit=945; family=us_first30_last30_reversal_signalweekdayside; min_signal_atr=0.35
3,competition_micro_ether_futures_daily_tsmom_next_overnight_weekday_side_1_long_dc4c34f3,MET 3-day daily mean reversion overnight (Tuesday longs),competition_micro_ether_futures_daily_tsmom_next_overnight_weekday_side_1_long_dc4c34f3,micro_ether_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,3.950,105,253.93,63.8,18.98,yes,ML scorer,true_pre2022_vs_2022_forward,0.000,3,3.950,105,4.047,74,3.713,31,High,thin pre-split sample; forward stronger than fit sample,competition_session_edge|family=daily_tsmom_next_overnight_weekday_side_1_long|direction=contrarian|entry=945|exit=570|lookback=3|signal_weekday_side=1_long|risk_reward=2,direction=contrarian; risk_reward=2; entry=945; exit=570; family=daily_tsmom_next_overnight_weekday_side_1_long; lookback=3
4,competition_micro_ether_futures_london_first30_ny_open_momentum_weekday_side_3_short_e779cb85,MET London opening-range continuation into New York (Thursday shorts),competition_micro_ether_futures_london_first30_ny_open_momentum_weekday_side_3_short_e779cb85,micro_ether_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,3.567,53,69.58,69.8,5.68,yes,ML scorer,true_pre2022_vs_2022_forward,999.000,2,3.567,53,2.818,38,12.765,15,High,thin pre-split sample; large PF decay,competition_session_edge|family=london_first30_ny_open_momentum_weekday_side_3_short|direction=same|entry=480|exit=570|min_signal_atr=0.5|signal_end=195|signal_start=180|signal_weekday_side=3_short|risk_reward=2,direction=same; risk_reward=2; entry=480; exit=570; family=london_first30_ny_open_momentum_weekday_side_3_short; min_signal_atr=0.5
5,competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,MBT 3-day daily mean reversion overnight (Tuesday longs),competition_micro_bitcoin_futures_daily_tsmom_next_overnight_signalweekdayside_direction_contrarian_en_6003fc2d,micro_bitcoin_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.553,104,218.77,68.3,10.58,yes,ML scorer,true_pre2022_vs_2022_forward,2.095,20,3.553,104,3.430,73,3.984,31,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_overnight_signalweekdayside|direction=contrarian|entry=945|exit=570|lookback=3|signal_weekday_side=1_long|risk_reward=2,direction=contrarian; risk_reward=2; entry=945; exit=570; family=daily_tsmom_next_overnight_signalweekdayside; lookback=3
6,competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entry_ce284576,6N US opening-range reversal into the close (December filter),competition_new_zealand_dollar_futures_us_first30_last30_reversal_signalmonth_direction_opposite_entry_ce284576,new_zealand_dollar_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.450,48,11.29,64.6,2.12,yes,ML scorer,true_pre2022_vs_2022_forward,1.575,26,3.450,48,2.358,34,22.026,14,Medium,small total sample; forward stronger than fit sample,competition_session_edge|family=us_first30_last30_reversal_signalmonth|direction=opposite|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_month=12|signal_start=570|risk_reward=2,direction=opposite; risk_reward=2; entry=930; exit=945; family=us_first30_last30_reversal_signalmonth; min_signal_atr=0.5
7,competition_eur_jpy_us_first30_last30_momentum_signalweekdayside_direction_same_entryminute_930_exitba_0a4a3f58,EURJPY US opening-range continuation into the close (Wednesday longs),competition_eur_jpy_us_first30_last30_momentum_signalweekdayside_direction_same_entryminute_930_exitba_0a4a3f58,eur_jpy,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.430,64,13.81,64.1,1.37,yes,ML scorer,true_pre2022_vs_2022_forward,1.058,23,3.430,64,3.390,45,3.547,19,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=us_first30_last30_momentum_signalweekdayside|direction=same|entry=930|exit=945|min_signal_atr=0.5|signal_end=585|signal_start=570|signal_weekday_side=2_long|risk_reward=2,direction=same; risk_reward=2; entry=930; exit=945; family=us_first30_last30_momentum_signalweekdayside; min_signal_atr=0.5
8,competition_crude_oil_futures_overnight_close_to_open_bias_signalmonth_entry_prior_rth_close_exit_ny_o_315d7644,CL overnight long close-to-open bias (January filter),competition_crude_oil_futures_overnight_close_to_open_bias_signalmonth_entry_prior_rth_close_exit_ny_o_315d7644,crude_oil_futures,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.232,102,161.74,64.7,12.69,yes,ML scorer,true_pre2022_vs_2022_forward,1.312,176,3.232,102,3.854,72,2.478,30,Low,forward stronger than fit sample,competition_session_edge|family=overnight_close_to_open_bias_signalmonth|side=long|signal_month=1|risk_reward=2,risk_reward=2; family=overnight_close_to_open_bias_signalmonth; side=long; signal_month=1
9,competition_eur_chf_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_391afa4a,EURCHF 5-day daily momentum into RTH (February filter),competition_eur_chf_daily_tsmom_next_rth_signalmonth_direction_momentum_entryminute_570_exitminute_945_391afa4a,eur_chf,competition_session_edge,competition_session_edge_train_forward_2026,machine_learning/selection.json,3.221,94,162.70,70.2,13.35,yes,ML scorer,true_pre2022_vs_2022_forward,2.124,37,3.221,94,3.177,66,3.286,28,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=daily_tsmom_next_rth_signalmonth|direction=momentum|entry=570|exit=945|lookback=5|signal_month=2|risk_reward=2,direction=momentum; risk_reward=2; entry=570; exit=945; family=daily_tsmom_next_rth_signalmonth; lookback=5
10,competition_corn_futures_us_first30_midday_momentum_weekday_side_3_long_cbe1149a,ZC US opening-range continuation into midday (Thursday longs),competition_corn_futures_us_first30_midday_momentum_weekday_side_3_long_cbe1149a,corn_futures,competition_session_edge,competition_session_edge_train_forward_2026_05,machine_learning/selection.json,3.220,81,62.72,65.4,3.48,yes,ML scorer,true_pre2022_vs_2022_forward,0.804,41,3.220,81,3.798,57,2.437,24,Medium,forward stronger than fit sample; ML fit sample under 50 trades,competition_session_edge|family=us_first30_midday_momentum_weekday_side_3_long|direction=same|entry=720|exit=780|min_signal_atr=0.35|signal_end=585|signal_start=570|signal_weekday_side=3_long|risk_reward=2,direction=same; risk_reward=2; entry=720; exit=780; family=us_first30_midday_momentum_weekday_side_3_long; min_signal_atr=0.35
